,,,,,,,,,,,,,,,,,,,,,
Theme: Economy & Prices,,,,,,,,,,,,,,,,,,,,,
"Subject: Labour, Employment, Wages and Productivity",,,,,,,,,,,,,,,,,,,,,
Topic: Wages and Income from Employment,,,,,,,,,,,,,,,,,,,,,
"Table Title: Median Gross Monthly Income From Employment (Including Employer CPF) Of Full-Time Employed Residents By Occupations And Sex, End June, Annual",,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Data last updated: 25/03/2024,,,,,,,,,,,,,,,,,,,,,
Source: MINISTRY OF MANPOWER,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,Dollars
Data Series,2023 ,2022 ,2021 ,2020 ,2019 ,2018 ,2017 ,2016 ,2015 ,2014 ,2013 ,2012 ,2011 ,2010 ,2009 ,2008 ,2007 ,2004 ,2003 ,2002 ,2001 
Managers & Administrators (Including Working Proprietors) - Male,11297,10586,9975,10075,10190,10146,9556,9304,9025,9000,8192,7500,7000,6081,5934,6000,5400,4896,5000,5000,4930
Managers & Administrators (Including Working Proprietors) - Female,10020,9800,9251,9800,9421,9583,9020,9020,8425,8003,7244,6938,6485,5582,5353,5769,5085,4896,4776,4640,4736
Professionals - Male,8620,8190,7371,7371,7805,7605,7605,7220,7103,6766,6350,6000,5835,5344,5344,5344,4896,4520,4640,4640,4640
Professionals - Female,7520,7220,6542,6435,6580,6435,6338,6201,6139,5606,5414,5041,4879,4617,4509,4351,3955,3673,3770,3770,3770
Associate Professionals & Technicians - Male,4680,4563,4212,4241,4563,4437,4374,4183,4095,4057,3915,3770,3500,3221,3221,3396,3060,3051,3132,3132,3141
Associate Professionals & Technicians - Female,4680,4437,4095,4095,4307,4182,4095,4022,3990,3924,3770,3654,3503,3101,3263,3263,2862,2816,2706,2842,2706
Clerical Support Workers - Male,3194,2984,2905,2662,2779,2691,2662,2535,2535,2514,2514,2354,2252,2138,2110,2138,2034,1845,2030,2088,1972
Clerical Support Workers - Female,3413,3296,3066,2916,3060,2983,2936,2825,2862,2683,2706,2597,2470,2420,2357,2353,2184,2034,2088,2088,2103
Service & Sales Workers - Male,3038,3042,2925,2633,2849,2662,2535,2500,2340,2320,2262,2128,2002,1984,1832,1861,1713,1695,1740,1740,1740
Service & Sales Workers - Female,2535,2409,2340,2195,2340,2260,2125,2017,1901,1885,1885,1700,1625,1500,1472,1381,1356,1243,1300,1276,1256
Craftsmen & Related Trades Workers - Male,3000,2890,2925,2765,3168,2853,2788,2730,2662,2514,2533,2416,2342,2347,2239,2025,2000,1836,1914,1885,1958
Craftsmen & Related Trades Workers - Female,2319,2150,2202,2106,2362,2167,2167,2028,1775,1853,1490,1500,1431,1356,1400,1263,1271,1224,1209,1160,1256
Plant & Machine Operators & Assemblers - Male,2500,2421,2155,2000,2340,2282,2017,2045,2030,2000,2000,1837,1800,1718,1658,1613,1500,1526,1571,1624,1734
Plant & Machine Operators & Assemblers - Female,2106,2000,2112,1901,1840,1755,1609,1591,1624,1528,1446,1276,1246,1214,1145,1138,1102,1054,1114,1131,1148
"Cleaners, Labourers & Related Workers - Male",1872,1851,1718,1631,1638,1635,1505,1526,1411,1331,1276,1149,1200,1180,1117,1088,1069,1130,1160,1160,1160
"Cleaners, Labourers & Related Workers - Female",1832,1669,1635,1521,1521,1476,1404,1347,1287,1197,1097,1012,975,916,877,877,872,904,928,906,928
,,,,,,,,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,,,,,,,,
